Objects
100
,,Global Angle drone1:drone1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.043708,-0.001295,1.516737,-607.511597,-1521.986206,65.109200
2,0,-0.043752,-0.001516,1.516870,-607.500732,-1521.979614,65.125443
3,0,-0.044501,-0.001883,1.516407,-607.495850,-1521.996948,65.104912
4,0,-0.043793,-0.000758,1.516678,-607.529236,-1522.018311,65.099907
5,0,-0.043895,-0.001554,1.516797,-607.517395,-1521.989380,65.118393
6,0,-0.043891,-0.001789,1.516191,-607.520081,-1522.018188,65.102142
7,0,-0.044404,-0.001613,1.516324,-607.529419,-1522.021851,65.082352
8,0,-0.043982,-0.001729,1.516522,-607.512817,-1522.012695,65.086555
9,0,-0.043065,-0.000939,1.516558,-607.529968,-1522.023682,65.085068
10,0,-0.044181,-0.001395,1.516955,-607.513550,-1521.992310,65.110031
11,0,-0.044234,-0.002018,1.516397,-607.489929,-1521.996094,65.110970
12,0,-0.044420,-0.002414,1.516565,-607.488708,-1521.975952,65.119171
13,0,-0.042868,-0.000684,1.516800,-607.526245,-1522.005127,65.116669
14,0,-0.043288,-0.001230,1.516082,-607.499451,-1522.005249,65.121071
15,0,-0.043796,-0.001075,1.516446,-607.503784,-1522.013306,65.111679
16,0,-0.043780,-0.002085,1.516507,-607.499268,-1522.006104,65.111664
17,0,-0.043645,-0.001144,1.516311,-607.505615,-1522.022339,65.098999
18,0,-0.043513,-0.001367,1.516494,-607.510376,-1522.023682,65.108444
19,0,-0.043530,-0.001970,1.516714,-607.502808,-1522.006836,65.114990
20,0,-0.043873,-0.000656,1.516448,-607.517883,-1522.034546,65.094475
21,0,-0.043315,-0.001619,1.516720,-607.494080,-1521.991699,65.134590
22,0,-0.044700,-0.002396,1.516470,-607.495056,-1522.019653,65.112183
23,0,-0.043152,-0.001077,1.516215,-607.513672,-1522.019043,65.110809
24,0,-0.043466,-0.001652,1.516365,-607.509155,-1522.017090,65.118919
25,0,-0.043588,-0.001203,1.516967,-607.535522,-1522.028442,65.091637
26,0,-0.043342,-0.001177,1.516402,-607.524719,-1522.041016,65.101036
27,0,-0.044642,-0.001779,1.516803,-607.500610,-1522.018188,65.092163
28,0,-0.044173,-0.001918,1.516739,-607.520935,-1522.036499,65.088165
29,0,-0.044164,-0.001730,1.516603,-607.509338,-1522.031372,65.106873
30,0,-0.044418,-0.002247,1.516609,-607.498108,-1522.025635,65.107109
31,0,-0.043762,-0.001779,1.516455,-607.518982,-1522.039795,65.100060
32,0,-0.043934,-0.001511,1.516297,-607.508118,-1522.022705,65.111061
33,0,-0.044770,-0.002386,1.517046,-607.509155,-1522.015991,65.099457
34,0,-0.042962,-0.001011,1.516485,-607.491821,-1522.022949,65.111153
35,0,-0.043521,-0.001353,1.516632,-607.508606,-1522.032715,65.101364
36,0,-0.044069,-0.001795,1.516607,-607.482788,-1522.022461,65.132698
37,0,-0.044210,-0.001963,1.516629,-607.491455,-1522.010376,65.111702
38,0,-0.043257,-0.001020,1.516656,-607.508850,-1522.009888,65.134834
39,0,-0.045808,-0.005803,1.516878,-607.489075,-1522.002808,65.110550
40,0,-0.043975,-0.001549,1.516802,-607.522888,-1522.015137,65.094284
41,0,-0.043034,-0.000718,1.516147,-607.540161,-1522.040894,65.082893
42,0,-0.043718,-0.001388,1.516860,-607.537476,-1522.045776,65.073761
43,0,-0.042566,-0.000705,1.516712,-607.534241,-1522.033081,65.090332
44,0,-0.043233,-0.001273,1.516894,-607.530212,-1522.026245,65.107307
45,0,-0.044010,-0.001856,1.516435,-607.514832,-1522.031738,65.094070
46,0,-0.044205,-0.001637,1.516322,-607.522034,-1522.061279,65.083450
47,0,-0.043634,-0.000938,1.516624,-607.531738,-1522.042847,65.088272
48,0,-0.043714,-0.001582,1.516371,-607.489014,-1522.006592,65.130249
49,0,-0.044740,-0.002724,1.516702,-607.510437,-1522.041260,65.102150
50,0,-0.044025,-0.001532,1.516617,-607.505066,-1522.025269,65.106316
51,0,-0.043087,-0.001397,1.516333,-607.490356,-1522.004395,65.132362
52,0,-0.045289,-0.004600,1.516558,-607.493958,-1522.026123,65.083565
53,0,-0.043261,-0.001201,1.516973,-607.527039,-1522.036743,65.110397
54,0,-0.042935,-0.000854,1.516256,-607.510254,-1522.053955,65.106636
55,0,-0.043827,-0.002123,1.516737,-607.514526,-1522.042969,65.112419
56,0,-0.045621,-0.005036,1.516881,-607.492981,-1522.035645,65.093544
57,0,-0.043184,-0.001267,1.516341,-607.528259,-1522.056763,65.094269
58,0,-0.043839,-0.001626,1.516475,-607.494385,-1522.040649,65.111313
59,0,-0.043394,-0.001671,1.516613,-607.509644,-1522.032104,65.110939
60,0,-0.043999,-0.002207,1.516343,-607.481934,-1522.011230,65.129036
61,0,-0.043754,-0.001771,1.516459,-607.474731,-1521.996704,65.139297
62,0,-0.043993,-0.001758,1.516042,-607.489380,-1522.015625,65.125000
63,0,-0.044093,-0.002263,1.516534,-607.495178,-1522.013306,65.115273
64,0,-0.043773,-0.001483,1.516392,-607.486694,-1522.015259,65.123329
65,0,-0.043425,-0.001232,1.516312,-607.508728,-1522.031128,65.096497
66,0,-0.042929,-0.000687,1.516304,-607.544067,-1522.067139,65.082886
67,0,-0.044094,-0.001502,1.516657,-607.541321,-1522.056152,65.097473
68,0,-0.044259,-0.002463,1.516798,-607.521912,-1522.046387,65.110046
69,0,-0.046637,-0.006456,1.516861,-607.510681,-1522.043579,65.074715
70,0,-0.042840,-0.000918,1.516192,-607.523193,-1522.044800,65.088371
71,0,-0.043071,-0.000845,1.516400,-607.519226,-1522.046143,65.082390
72,0,-0.043436,-0.001555,1.516082,-607.510620,-1522.029053,65.092949
73,0,-0.044346,-0.001729,1.516617,-607.502747,-1522.024536,65.092873
74,0,-0.043195,-0.001325,1.516710,-607.492920,-1522.001831,65.114639
75,0,-0.042877,-0.000959,1.516138,-607.523254,-1522.027344,65.113533
76,0,-0.043755,-0.001037,1.516756,-607.526489,-1522.027344,65.115280
77,0,-0.044314,-0.001658,1.516639,-607.521606,-1522.024658,65.098785
